trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.35, 'e': 0.694}",25,0,-142.569940331902,"{0: 14, 1: 3, 2: 4, 3: 3, 4: 1}",0
2,False,"{'a': 0.35, 'e': 0.44399999999999995}",20,0,-176.9252863930902,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
3,False,"{'a': 0.35, 'e': 0.33288888888888885}",20,0,-185.2159447812818,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
4,False,"{'a': 0.35, 'e': 0.27038888888888885}",25,0,-146.74700936552014,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
5,False,"{'a': 0.35, 'e': 0.23038888888888884}",25,0,-79.51970338162914,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.35, 'e': 0.20261111111111108}",20,0,-72.31605845171285,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.35, 'e': 0.18220294784580496}",20,0,-42.328411317427715,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.35, 'e': 0.16657794784580496}",20,0,-89.58611474017994,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
9,False,"{'a': 0.35, 'e': 0.15423226883345928}",20,12,13.754634763042144,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.35, 'e': 0.14423226883345927}",20,0,-29.764232620444005,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.35, 'e': 0.13596780602354192}",20,0,-77.93976067977296,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.35, 'e': 0.12902336157909747}",30,0,-55.97226295715601,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 2}",1
13,False,"{'a': 0.35, 'e': 0.12310620181578386}",25,9,-38.445932327169295,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.35, 'e': 0.11800416099945732}",20,0,-24.864946225712202,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
15,False,"{'a': 0.35, 'e': 0.11355971655501287}",20,0,-114.179910809532,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
16,False,"{'a': 0.35, 'e': 0.10965346655501287}",25,0,-58.01833091605623,"{0: 21, 1: 1, 2: 0, 3: 2, 4: 1}",0
17,False,"{'a': 0.35, 'e': 0.10619325894255613}",20,0,-50.37554377661072,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.35, 'e': 0.10310683918946971}",25,0,-71.54199933470609,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.35, 'e': 0.10033675608697663}",25,13,18.135848112890095,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.35, 'e': 0.09783675608697663}",25,19,11.393867551855129,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.35, 'e': 0.09556918239083151}",25,0,-69.698982991054,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
22,False,"{'a': 0.35, 'e': 0.09350306668835218}",30,0,-106.58978376214482,"{0: 22, 1: 2, 2: 2, 3: 3, 4: 1}",0
