trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.80875412080344,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-150.3165283536503,"{0: 15, 1: 5, 2: 2, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-100.84529739100357,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.76824354349505,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-120.86437544154943,"{0: 17, 1: 4, 2: 8, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-135.77419785159245,"{0: 15, 1: 6, 2: 8, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.38327221894306,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.01452301377245,"{0: 15, 1: 6, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-156.09931222132096,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-134.16810258507508,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.69621175793166,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-210.53680726783216,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.044853356132,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,12,-61.217765059774486,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-121.12128695612739,"{0: 16, 1: 5, 2: 7, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-65.91548351304387,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-201.42480318123506,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.15372466513745,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.53358300854109,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,5,-72.97135454750284,"{0: 6, 1: 7, 2: 1, 3: 0, 4: 1}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-91.99599887565901,"{0: 12, 1: 5, 2: 0, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-77.21462715381816,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-78.5812486409219,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-125.52078115619344,"{0: 16, 1: 5, 2: 8, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-91.47275678834447,"{0: 18, 1: 5, 2: 5, 3: 2, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-113.56943121606238,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-65.13645778711103,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-122.86819791211317,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-46.34506541146957,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-88.18099991600312,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
